Player;Role;Team;Opponent Team;Opponent Player;Date;Round;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
Clear;TOP;FOX;DK;kingen;23.08.2024;1;1;v14.16;Summer_Playoffs_24;2;4;5;2;Blue;00:30:38;LeBlanc;Rumble;Renekton;Maokai;Renekton;KSante;Loss;12;3;0;0;15;3;6;4;1.2;204;4;0;6.7;11025;360;0.207;26;6;7;4;3;0.85;0.2;0.13;0.23;0.119;15624;12986;2490;148;510;0.178;0.23;0.583;0;1;0;0;0;301;-2;34;0;0;4228;4228;6354;0;30672;0;18;54;33845;199;5;25;300;100
Raptor;JUNGLE;FOX;DK;Lucid;23.08.2024;1;1;v14.16;Summer_Playoffs_24;2;4;5;2;Blue;00:30:38;Nasus;Vi;Lillia;Corki;Lillia;Maokai;Loss;12;3;0;0;15;2;4;6;2;224;213;0;7.3;10420;340;0.196;30;10;2;7;6;0.98;0.33;0.23;0.07;0.137;23119;269;19340;3510;755;0.264;0.26;0.667;0;0;0;0;0;743;33;1500;1;0;0;0;24876;0;27570;0;18;503;45143;127;8;22;0;100
Clozer;MID;FOX;DK;ShowMaker;23.08.2024;1;1;v14.16;Summer_Playoffs_24;2;4;5;2;Blue;00:30:38;Ivern;Zyra;Ashe;Rell;Zeri;Corki;Loss;12;3;0;0;17;4;4;7;2.8;306;0;0;10;13178;430;0.248;39;16;8;6;6;1.27;0.52;0.2;0.26;0.178;22388;14657;7009;722;731;0.255;0.36;0.917;0;1;0;0;0;26;-1;354;0;0;1681;1681;7585;0;14478;0;5;143;24718;153;7;26;0;450
Hena;ADCARRY;FOX;DK;Aiming;23.08.2024;1;1;v14.16;Summer_Playoffs_24;2;4;5;2;Blue;00:30:38;Gangplank;Yone;Zeri;Smolder;Ashe;Smolder;Loss;12;3;0;0;15;3;4;5;2;269;10;0;8.8;11808;385;0.222;30;12;5;3;3;0.98;0.39;0.1;0.16;0.137;22768;18470;4136;162;743;0.26;0.26;0.667;0;1;0;0;0;1076;8;601;1;0;1645;1645;2961;0;11030;0;45;713;18389;182;5;23;0;250
Duro;SUPPORT;FOX;DK;Moham;23.08.2024;1;1;v14.16;Summer_Playoffs_24;2;4;5;2;Blue;00:30:38;Miss_Fortune;Braum;Alistar;KSante;Alistar;Rell;Loss;12;3;0;0;10;0;5;9;1.8;20;0;0;0.7;6766;221;0.127;94;46;9;19;17;3.07;1.5;0.62;0.29;0.429;3776;205;2999;572;123;0.043;0.29;0.75;0;0;0;0;0;361;-10;-332;-1;0;2860;2860;4627;2347;22319;0;28;69;25331;133;21;32;0;0
kingen;TOP;DK;FOX;Clear;23.08.2024;1;1;v14.16;Summer_Playoffs_24;2;4;5;2;Red;00:30:38;Rumble;LeBlanc;Maokai;Renekton;KSante;Renekton;Win;23;7;4;1;16;3;4;13;4;212;4;0;6.9;11731;383;0.194;32;10;7;7;6;1.04;0.33;0.23;0.23;0.15;22879;17286;3358;2235;747;0.199;0.52;0.696;1;0;0;0;0;-301;2;-34;0;0;2281;2281;6002;0;43309;859;34;1663;28887;141;10;26;150;0
Lucid;JUNGLE;DK;FOX;Raptor;23.08.2024;1;1;v14.16;Summer_Playoffs_24;2;4;5;2;Red;00:30:38;Vi;Nasus;Corki;Lillia;Maokai;Lillia;Win;23;7;4;1;15;4;3;14;6;166;144;0;5.4;11219;366;0.186;35;10;5;7;7;1.14;0.33;0.23;0.16;0.164;16614;731;14546;1337;542;0.145;0.59;0.783;0;0;0;0;0;-743;-33;-1500;-1;1;1091;1091;20263;0;33252;0;43;559;42407;117;8;24;350;0
ShowMaker;MID;DK;FOX;Clozer;23.08.2024;1;1;v14.16;Summer_Playoffs_24;2;4;5;2;Red;00:30:38;Zyra;Ivern;Rell;Ashe;Corki;Zeri;Win;23;7;4;1;17;6;1;12;18;271;4;0;8.8;14250;465;0.236;31;11;7;5;5;1.01;0.36;0.16;0.23;0.145;37320;26103;6756;4461;1218;0.325;0.59;0.783;0;1;1;0;0;-26;1;-354;0;0;7461;7461;8970;0;15041;0;5;119;18735;49;7;26;200;300
Aiming;ADCARRY;DK;FOX;Hena;23.08.2024;1;1;v14.16;Summer_Playoffs_24;2;4;5;2;Red;00:30:38;Yone;Gangplank;Smolder;Zeri;Smolder;Ashe;Win;23;7;4;1;17;10;2;9;9.5;309;18;0;10.1;15960;521;0.265;22;10;4;1;1;0.72;0.33;0.03;0.13;0.103;34028;24915;4755;4358;1111;0.297;0.62;0.826;0;2;1;0;0;-1076;-8;-601;-1;0;4655;4655;7759;0;9577;0;11;442;17542;79;2;24;200;0
Moham;SUPPORT;DK;FOX;Duro;23.08.2024;1;1;v14.16;Summer_Playoffs_24;2;4;5;2;Red;00:30:38;Braum;Miss_Fortune;KSante;Alistar;Rell;Alistar;Win;23;7;4;1;13;0;2;13;6.5;35;0;0;1.1;7158;234;0.119;94;46;14;12;12;3.07;1.5;0.39;0.46;0.439;3882;558;2145;1179;127;0.034;0.42;0.565;0;0;0;0;0;-361;10;332;1;0;2132;2132;2786;0;17435;0;19;115;16104;59;14;26;0;0
