Player;Role;Team;Opponent Team;Opponent Player;Date;Round;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
Keria;SUPPORT;T1;KT;BeryL;24.08.2024;1;2;v14.16;Summer_Playoffs_24;1;4;5;1;Blue;00:35:57;Caitlyn;KSante;Nilah;Miss_Fortune;Senna;Seraphine;Win;13;9;3;0;15;0;1;13;13;41;0;0;1.1;9855;274;0.146;109;67;15;18;18;3.03;1.86;0.5;0.42;0.342;12851;11100;1073;678;357;0.16;0.36;1;0;0;0;0;0;607;5;1856;2;0;3183;3183;27747;18217;10500;8469;39;341;15447;36;22;41;0;0
PerfecT;TOP;KT;T1;Zeus;24.08.2024;1;2;v14.16;Summer_Playoffs_24;1;4;5;1;Red;00:35:57;Rumble;Maokai;Renekton;Azir;Renekton;Olaf;Loss;10;3;3;2;17;1;2;5;3;254;0;0;7.1;11813;329;0.192;46;19;7;12;12;1.28;0.53;0.33;0.19;0.13;9122;7419;1285;418;254;0.118;0.17;0.6;0;0;0;0;0;-761;-19;-422;0;0;0;0;7466;0;25465;0;15;57;30451;46;15;34;100;0
Pyosik;JUNGLE;KT;T1;Oner;24.08.2024;1;2;v14.16;Summer_Playoffs_24;1;4;5;1;Red;00:35:57;Ashe;Ivern;Sejuani;Lillia;Sejuani;Lillia;Loss;10;3;3;2;16;0;2;10;5;189;170;0;5.3;10733;299;0.174;102;50;19;19;19;2.84;1.39;0.53;0.53;0.288;7447;3336;3376;735;207;0.096;0.28;1;0;0;0;0;0;-1042;-20;-1032;-1;0;527;527;16728;169;44516;1289;15;287;34068;71;20;37;0;0
Bdd;MID;KT;T1;Faker;24.08.2024;1;2;v14.16;Summer_Playoffs_24;1;4;5;1;Red;00:35:57;Nasus;Vi;Smolder;Senna;Smolder;Azir;Loss;10;3;3;2;18;6;2;3;4.5;368;17;0;10.2;16830;468;0.274;46;14;12;2;2;1.28;0.39;0.06;0.33;0.13;33028;19177;8982;4869;919;0.425;0.25;0.9;0;2;0;0;0;-147;10;305;0;0;6690;6690;7111;0;12333;0;14;390;19733;48;5;27;750;400
Deft;ADCARRY;KT;T1;Gumayusi;24.08.2024;1;2;v14.16;Summer_Playoffs_24;1;4;5;1;Red;00:35:57;Kennen;Taliyah;Seraphine;Olaf;Miss_Fortune;Nilah;Loss;10;3;3;2;16;2;3;5;2.3;292;18;0;8.1;13679;381;0.222;38;17;8;7;5;1.06;0.47;0.19;0.22;0.107;21162;19714;768;680;589;0.273;0.19;0.7;0;0;0;0;0;53;3;-402;0;0;4576;4576;2912;0;15847;0;5;91;11257;100;9;28;150;0
BeryL;SUPPORT;KT;T1;Keria;24.08.2024;1;2;v14.16;Summer_Playoffs_24;1;4;5;1;Red;00:35:57;KSante;Caitlyn;Miss_Fortune;Nilah;Seraphine;Senna;Loss;10;3;3;2;14;1;4;8;2.3;32;0;0;0.9;8471;236;0.138;122;52;14;14;14;3.39;1.45;0.39;0.39;0.345;6867;1254;5125;488;191;0.088;0.25;0.9;0;0;0;0;0;-607;-5;-1856;-2;0;1619;1619;6965;4435;10387;5076;14;81;15413;136;16;34;0;0
PerfecT;TOP;KT;T1;Zeus;24.08.2024;1;2;v14.16;Summer_Playoffs_24;2;4;5;2;Blue;00:29:40;Nasus;Maokai;Renekton;Lillia;Renekton;Aatrox;Win;16;6;1;0;16;2;1;7;9;241;4;0;8.1;11420;385;0.216;33;10;8;5;5;1.11;0.34;0.17;0.27;0.125;15072;13250;1630;192;508;0.193;0.3;0.563;0;0;0;0;0;860;21;49;0;0;5687;5687;8337;0;16518;0;20;96;21368;28;7;23;0;0
Pyosik;JUNGLE;KT;T1;Oner;24.08.2024;1;2;v14.16;Summer_Playoffs_24;2;4;5;2;Blue;00:29:40;Azir;Ivern;Sejuani;Senna;Sejuani;Lillia;Win;16;6;1;0;13;3;2;6;4.5;146;131;0;4.9;9088;306;0.172;69;31;13;10;10;2.33;1.04;0.34;0.44;0.261;6906;4261;2317;328;233;0.089;0.3;0.563;0;0;0;0;0;-299;-38;-1217;-2;0;2749;2749;12619;170;28945;606;14;309;26077;61;11;23;0;200
Bdd;MID;KT;T1;Faker;24.08.2024;1;2;v14.16;Summer_Playoffs_24;2;4;5;2;Blue;00:29:40;Ashe;Rumble;Smolder;Yasuo;Smolder;Yasuo;Win;16;6;1;0;16;8;0;5;Perfect_KDA;271;23;0;9.1;13371;451;0.253;29;13;4;5;5;0.98;0.44;0.17;0.13;0.11;25452;18795;4096;2561;858;0.327;0.44;0.813;1;1;1;0;0;29;-11;-337;-1;0;3341;3341;4948;0;7104;0;9;213;10538;0;6;23;200;0
Deft;ADCARRY;KT;T1;Gumayusi;24.08.2024;1;2;v14.16;Summer_Playoffs_24;2;4;5;2;Blue;00:29:40;Ornn;Caitlyn;Ziggs;Aatrox;Ziggs;Senna;Win;16;6;1;0;15;3;3;7;3.3;262;7;0;8.8;11979;404;0.226;30;13;4;4;4;1.01;0.44;0.13;0.13;0.114;27832;846;26682;304;938;0.357;0.34;0.625;0;0;0;0;0;1200;112;3459;4;0;9055;9055;294;0;3675;0;14;310;7699;84;7;21;0;200
BeryL;SUPPORT;KT;T1;Keria;24.08.2024;1;2;v14.16;Summer_Playoffs_24;2;4;5;2;Blue;00:29:40;Olaf;Taliyah;Rell;Lee_Sin;Rell;Lee_Sin;Win;16;6;1;0;11;0;3;12;4;39;0;0;1.3;7062;238;0.133;103;46;17;13;13;3.47;1.55;0.44;0.57;0.39;2681;539;1430;712;90;0.034;0.4;0.75;0;0;0;0;0;-1955;-108;-3797;-4;0;581;581;880;0;11602;0;17;57;12426;60;15;28;0;0
Zeus;TOP;T1;KT;PerfecT;24.08.2024;1;2;v14.16;Summer_Playoffs_24;2;4;5;2;Red;00:29:40;Maokai;Nasus;Lillia;Renekton;Aatrox;Renekton;Loss;9;1;3;0;15;2;3;4;2;215;0;0;7.2;9526;321;0.199;33;9;11;5;4;1.11;0.3;0.17;0.37;0.131;14881;10825;3660;396;502;0.272;0.2;0.667;0;0;0;0;0;-860;-21;-49;0;0;0;0;7182;0;17281;0;14;131;22921;66;7;35;0;0
Oner;JUNGLE;T1;KT;Pyosik;24.08.2024;1;2;v14.16;Summer_Playoffs_24;2;4;5;2;Red;00:29:40;Ivern;Azir;Senna;Sejuani;Lillia;Sejuani;Loss;9;1;3;0;14;2;3;5;2.3;214;190;0;7.2;9954;336;0.208;45;6;13;5;4;1.52;0.2;0.17;0.44;0.179;12388;274;10129;1985;418;0.226;0.24;0.778;0;0;0;0;0;299;38;1217;2;0;445;445;19309;0;19826;0;15;394;30755;111;6;20;0;0
Faker;MID;T1;KT;Bdd;24.08.2024;1;2;v14.16;Summer_Playoffs_24;2;4;5;2;Red;00:29:40;Rumble;Ashe;Yasuo;Smolder;Yasuo;Smolder;Loss;9;1;3;0;15;1;4;5;1.5;261;9;0;8.8;10358;349;0.216;31;15;2;5;5;1.04;0.51;0.17;0.07;0.123;11983;10320;1375;288;404;0.219;0.2;0.667;0;0;0;0;0;-29;11;337;1;0;1556;1556;3672;0;19451;0;19;163;16377;125;6;25;0;150
Gumayusi;ADCARRY;T1;KT;Deft;24.08.2024;1;2;v14.16;Summer_Playoffs_24;2;4;5;2;Red;00:29:40;Caitlyn;Ornn;Aatrox;Ziggs;Senna;Ziggs;Loss;9;1;3;0;10;2;3;3;1.7;34;0;0;1.1;7367;248;0.154;108;53;23;16;12;3.64;1.79;0.54;0.78;0.429;7304;6345;709;250;246;0.133;0.17;0.556;0;0;0;0;0;-1200;-112;-3459;-4;0;94;94;10992;5122;5587;2466;36;124;13969;82;18;34;200;0
Keria;SUPPORT;T1;KT;BeryL;24.08.2024;1;2;v14.16;Summer_Playoffs_24;2;4;5;2;Red;00:29:40;Taliyah;Olaf;Lee_Sin;Rell;Lee_Sin;Rell;Loss;9;1;3;0;14;2;3;7;3;250;4;0;8.4;10749;362;0.224;35;17;5;7;7;1.18;0.57;0.24;0.17;0.139;8185;6462;1599;124;276;0.15;0.3;1;0;0;0;0;0;1955;108;3797;4;0;562;562;8098;0;21162;356;7;402;26648;104;9;29;200;50
Zeus;TOP;T1;KT;PerfecT;24.08.2024;1;2;v14.16;Summer_Playoffs_24;3;4;5;3;Blue;00:34:44;Maokai;Ashe;Azir;Renekton;Olaf;Renekton;Win;8;9;2;1;18;1;1;6;7;300;12;0;8.6;14324;412;0.221;42;12;10;8;7;1.21;0.35;0.23;0.29;0.132;15350;9894;0;5456;442;0.25;0.2;0.875;0;0;0;0;0;436;9;301;0;0;4422;4422;11087;0;30750;0;11;506;17705;20;12;38;0;0
Oner;JUNGLE;T1;KT;Pyosik;24.08.2024;1;2;v14.16;Summer_Playoffs_24;3;4;5;3;Blue;00:34:44;Ivern;Rumble;Lillia;Sejuani;Lillia;Sejuani;Win;8;9;2;1;17;4;1;3;7;278;237;0;8;13573;391;0.209;63;10;17;8;8;1.81;0.29;0.23;0.49;0.197;19194;441;15214;3539;553;0.313;0.2;0.875;0;0;0;0;0;1300;15;1000;1;1;2271;2271;25012;0;24079;0;10;377;33927;39;9;23;0;150
Faker;MID;T1;KT;Bdd;24.08.2024;1;2;v14.16;Summer_Playoffs_24;3;4;5;3;Blue;00:34:44;Vi;Nasus;Olaf;Smolder;Azir;Smolder;Win;8;9;2;1;17;3;1;2;5;306;0;0;8.8;13724;395;0.212;50;13;16;4;3;1.44;0.37;0.12;0.46;0.157;14555;180;14133;242;419;0.237;0.14;0.625;0;0;1;0;0;116;0;-198;0;0;5799;5799;2900;0;9136;0;5;195;13005;41;6;23;250;100
Gumayusi;ADCARRY;T1;KT;Deft;24.08.2024;1;2;v14.16;Summer_Playoffs_24;3;4;5;3;Blue;00:34:44;Kalista;Senna;Varus;Miss_Fortune;Varus;Miss_Fortune;Win;8;9;2;1;16;0;0;3;Perfect_KDA;347;4;0;10;14423;415;0.223;42;13;24;3;3;1.21;0.37;0.09;0.69;0.132;9456;6980;2318;158;272;0.154;0.09;0.375;0;0;0;0;0;184;-7;-86;0;0;6035;6035;5248;0;5561;0;18;279;8709;0;4;22;0;0
Keria;SUPPORT;T1;KT;BeryL;24.08.2024;1;2;v14.16;Summer_Playoffs_24;3;4;5;3;Blue;00:34:44;Ziggs;Caitlyn;Rell;Alistar;Rell;Alistar;Win;8;9;2;1;12;0;1;4;4;39;0;0;1.1;8759;252;0.135;122;62;16;18;18;3.51;1.79;0.52;0.46;0.382;2795;260;1953;582;80;0.046;0.12;0.5;0;0;0;0;0;682;-7;-312;0;0;3296;3296;454;0;9449;0;19;52;10923;39;20;35;0;0
PerfecT;TOP;KT;T1;Zeus;24.08.2024;1;2;v14.16;Summer_Playoffs_24;3;4;5;3;Red;00:34:44;Ashe;Maokai;Renekton;Azir;Renekton;Olaf;Loss;4;2;2;0;15;0;3;1;0.3;238;16;0;6.9;10860;313;0.197;33;14;7;6;5;0.95;0.4;0.17;0.2;0.103;5505;4584;705;216;158;0.149;0.03;0.25;0;0;0;0;0;-436;-9;-301;0;0;1726;1726;7398;0;18472;0;13;232;24962;56;7;24;0;0
Pyosik;JUNGLE;KT;T1;Oner;24.08.2024;1;2;v14.16;Summer_Playoffs_24;3;4;5;3;Red;00:34:44;Rumble;Ivern;Sejuani;Lillia;Sejuani;Lillia;Loss;4;2;2;0;15;0;1;2;2;190;166;0;5.5;9403;271;0.171;91;43;18;15;15;2.62;1.24;0.43;0.52;0.285;3552;2141;1182;229;102;0.096;0.06;0.5;0;0;0;0;0;-1300;-15;-1000;-1;0;0;0;15319;141;29786;266;5;418;31772;0;16;31;0;0
Bdd;MID;KT;T1;Faker;24.08.2024;1;2;v14.16;Summer_Playoffs_24;3;4;5;3;Red;00:34:44;Nasus;Vi;Smolder;Olaf;Smolder;Azir;Loss;4;2;2;0;18;3;1;0;3;393;20;0;11.3;15136;436;0.275;29;12;7;2;2;0.83;0.35;0.06;0.2;0.091;16754;11590;3291;1873;482;0.453;0.09;0.75;0;0;0;0;0;-116;0;198;0;0;2378;2378;5346;0;7750;0;8;407;13278;0;3;25;250;250
Deft;ADCARRY;KT;T1;Gumayusi;24.08.2024;1;2;v14.16;Summer_Playoffs_24;3;4;5;3;Red;00:34:44;Senna;Kalista;Miss_Fortune;Varus;Miss_Fortune;Varus;Loss;4;2;2;0;15;1;1;1;2;303;0;0;8.7;12591;363;0.229;51;21;10;8;8;1.47;0.6;0.23;0.29;0.16;8683;7374;986;323;250;0.235;0.06;0.5;0;0;0;0;0;-184;7;86;0;0;3112;3112;1022;0;7351;0;7;90;4300;0;9;24;0;0
BeryL;SUPPORT;KT;T1;Keria;24.08.2024;1;2;v14.16;Summer_Playoffs_24;3;4;5;3;Red;00:34:44;Caitlyn;Ziggs;Alistar;Rell;Alistar;Rell;Loss;4;2;2;0;11;0;2;2;1;49;0;0;1.4;7041;203;0.128;115;60;15;19;19;3.31;1.73;0.55;0.43;0.361;2495;228;1820;447;72;0.067;0.06;0.5;0;0;0;0;0;-682;7;312;0;0;482;482;4692;942;18972;0;14;37;18032;16;21;33;0;0
PerfecT;TOP;KT;T1;Zeus;24.08.2024;1;2;v14.16;Summer_Playoffs_24;4;4;5;4;Blue;00:34:06;Nasus;Maokai;Lillia;Smolder;Renekton;Vayne;Loss;7;5;2;1;15;0;2;3;1.5;178;0;0;5.2;9571;281;0.165;40;14;10;7;7;1.17;0.41;0.21;0.29;0.134;6371;5327;866;178;187;0.091;0.09;0.429;0;0;0;0;0;-1849;-60;-1169;-1;0;1898;1898;7098;0;25676;0;12;103;32630;35;10;30;0;0
Pyosik;JUNGLE;KT;T1;Oner;24.08.2024;1;2;v14.16;Summer_Playoffs_24;4;4;5;4;Blue;00:34:06;Ashe;Ivern;Renekton;Sejuani;Lillia;Sejuani;Loss;7;5;2;1;16;1;1;3;4;244;221;0;7.2;11855;348;0.205;48;12;11;13;10;1.41;0.35;0.38;0.32;0.161;13114;199;10832;2083;385;0.188;0.12;0.571;0;0;0;0;0;-111;1;-170;0;1;917;917;30085;0;24231;0;23;449;38688;54;14;30;0;0
Bdd;MID;KT;T1;Faker;24.08.2024;1;2;v14.16;Summer_Playoffs_24;4;4;5;4;Blue;00:34:06;Azir;Rumble;Corki;Vayne;Corki;Smolder;Loss;7;5;2;1;18;4;1;1;5;333;4;0;9.8;15148;444;0.261;48;15;12;4;4;1.41;0.44;0.12;0.35;0.161;20991;16219;2608;2164;616;0.3;0.15;0.714;0;0;1;0;0;214;9;455;0;0;11103;11103;6957;0;12793;0;2;52;17403;0;7;30;300;350
Deft;ADCARRY;KT;T1;Gumayusi;24.08.2024;1;2;v14.16;Summer_Playoffs_24;4;4;5;4;Blue;00:34:06;Kalista;Leona;Ezreal;Caitlyn;Ezreal;Caitlyn;Loss;7;5;2;1;16;2;1;2;4;309;5;0;9.1;13459;395;0.232;39;16;9;4;4;1.14;0.47;0.12;0.26;0.131;24919;15074;9755;90;731;0.357;0.12;0.571;1;0;0;0;0;-572;-20;-489;-1;0;1015;1015;5971;0;12635;0;0;5;15906;46;7;24;350;0
BeryL;SUPPORT;KT;T1;Keria;24.08.2024;1;2;v14.16;Summer_Playoffs_24;4;4;5;4;Blue;00:34:06;Rell;Ziggs;Karma;Lux;Karma;Lux;Loss;7;5;2;1;12;0;2;3;1.5;41;0;0;1.2;7934;233;0.137;123;63;17;22;19;3.61;1.85;0.65;0.5;0.413;4473;627;3846;0;131;0.064;0.09;0.429;0;0;0;0;0;92;0;462;1;0;832;832;3187;1320;9358;5865;9;122;13873;78;24;39;0;0
Zeus;TOP;T1;KT;PerfecT;24.08.2024;1;2;v14.16;Summer_Playoffs_24;4;4;5;4;Red;00:34:06;Maokai;Nasus;Smolder;Lillia;Vayne;Renekton;Win;7;8;2;1;17;4;1;1;5;306;36;0;9;15538;456;0.251;57;18;10;5;5;1.67;0.53;0.15;0.29;0.178;19473;14174;214;5085;571;0.243;0.15;0.714;0;0;0;0;0;1849;60;1169;1;0;9030;9030;9127;0;11959;0;13;136;17953;0;7;27;350;350
Oner;JUNGLE;T1;KT;Pyosik;24.08.2024;1;2;v14.16;Summer_Playoffs_24;4;4;5;4;Red;00:34:06;Ivern;Ashe;Sejuani;Renekton;Sejuani;Lillia;Win;7;8;2;1;15;0;2;4;2;211;190;0;6.2;10742;315;0.174;53;14;11;12;12;1.55;0.41;0.35;0.32;0.166;10263;5749;3932;582;301;0.128;0.12;0.571;0;0;0;0;0;111;-1;170;0;0;852;852;17856;401;55872;885;21;489;44722;46;13;28;0;0
Faker;MID;T1;KT;Bdd;24.08.2024;1;2;v14.16;Summer_Playoffs_24;4;4;5;4;Red;00:34:06;Rumble;Azir;Vayne;Corki;Smolder;Corki;Win;7;8;2;1;17;1;2;5;3;287;13;0;8.4;13084;384;0.211;34;13;7;2;1;1;0.38;0.06;0.21;0.106;20569;13247;4413;2909;603;0.256;0.18;0.857;0;0;0;0;0;-214;-9;-455;0;0;4690;4690;6884;0;10196;0;11;214;16857;81;5;21;0;100
Gumayusi;ADCARRY;T1;KT;Deft;24.08.2024;1;2;v14.16;Summer_Playoffs_24;4;4;5;4;Red;00:34:06;Leona;Kalista;Caitlyn;Ezreal;Caitlyn;Ezreal;Win;7;8;2;1;16;2;1;3;5;331;4;0;9.7;14324;420;0.231;47;18;13;8;8;1.38;0.53;0.23;0.38;0.147;18623;17242;449;932;546;0.232;0.15;0.714;0;1;0;0;0;572;20;489;1;0;10313;10313;9055;0;12528;0;19;140;17608;46;11;29;0;200
Keria;SUPPORT;T1;KT;BeryL;24.08.2024;1;2;v14.16;Summer_Playoffs_24;4;4;5;4;Red;00:34:06;Ziggs;Rell;Lux;Karma;Lux;Karma;Win;7;8;2;1;13;0;1;5;5;47;0;0;1.4;8200;240;0.132;129;66;16;15;15;3.78;1.94;0.44;0.47;0.403;11355;611;9734;1010;333;0.141;0.15;0.714;0;0;0;0;0;-92;0;-462;-1;0;1078;1078;1247;0;6397;3564;36;220;10679;38;18;35;0;0
Kiin;TOP;GEN;DK;kingen;28.08.2024;2;3;v14.16;Summer_Playoffs_24;1;3;5;1;Blue;00:37:46;Vi;Azir;Maokai;Miss_Fortune;KSante;Malphite;Win;13;9;4;2;18;3;2;6;4.5;293;4;0;7.8;15092;400;0.207;54;15;11;9;9;1.43;0.4;0.24;0.29;0.14;16275;12284;2318;1673;431;0.164;0.24;0.692;0;0;0;0;0;294;2;307;1;0;5365;5365;5074;0;57913;79;39;3031;27393;93;12;33;200;100
Canyon;JUNGLE;GEN;DK;Lucid;28.08.2024;2;3;v14.16;Summer_Playoffs_24;1;3;5;1;Blue;00:37:46;LeBlanc;Rumble;Ziggs;Lillia;Maokai;Lillia;Win;13;9;4;2;16;1;1;10;11;206;188;0;5.5;12468;330;0.171;67;15;14;14;13;1.77;0.4;0.37;0.37;0.173;15934;636;15134;164;422;0.161;0.29;0.846;0;0;0;0;0;306;-13;-244;-1;0;1086;1086;28194;0;48312;1106;61;762;40760;36;15;32;0;0
Chovy;MID;GEN;DK;ShowMaker;28.08.2024;2;3;v14.16;Summer_Playoffs_24;1;3;5;1;Blue;00:37:46;Smolder;Nasus;Tristana;Rell;Tristana;Corki;Win;13;9;4;2;18;3;1;3;6;430;56;0;11.4;18603;493;0.255;73;17;18;4;4;1.93;0.45;0.11;0.48;0.189;23000;21301;813;886;609;0.232;0.16;0.462;0;0;1;0;0;698;1;542;0;0;11138;11138;13149;0;19061;0;6;214;21304;48;5;29;0;250
Peyz;ADCARRY;GEN;DK;Aiming;28.08.2024;2;3;v14.16;Summer_Playoffs_24;1;3;5;1;Blue;00:37:46;Yasuo;Leona;KSante;Corki;Ziggs;Miss_Fortune;Win;13;9;4;2;18;3;0;8;Perfect_KDA;371;17;0;9.8;16994;450;0.233;49;21;12;10;10;1.3;0.56;0.26;0.32;0.127;39728;934;38705;89;1052;0.401;0.29;0.846;0;0;0;0;0;-503;-15;-448;0;0;7034;7034;902;294;4069;0;19;356;3926;0;12;33;0;0
Lehends;SUPPORT;GEN;DK;Moham;28.08.2024;2;3;v14.16;Summer_Playoffs_24;1;3;5;1;Blue;00:37:46;Mordekaiser;Alistar;Poppy;Malphite;Poppy;Rell;Win;13;9;4;2;13;3;2;3;3;30;0;0;0.8;9714;257;0.133;144;74;18;21;21;3.81;1.96;0.56;0.48;0.372;4036;2895;439;702;107;0.041;0.16;0.462;0;0;0;0;0;575;-7;-295;0;0;815;815;1540;0;13385;0;20;120;13839;56;23;39;0;100
kingen;TOP;DK;GEN;Kiin;28.08.2024;2;3;v14.16;Summer_Playoffs_24;1;3;5;1;Red;00:37:46;Azir;Vi;Miss_Fortune;Maokai;Malphite;KSante;Loss;6;3;2;0;17;0;4;4;1;274;0;0;7.3;11908;315;0.19;35;10;10;8;6;0.93;0.26;0.21;0.26;0.119;7030;2005;4935;90;186;0.104;0.11;0.667;0;0;0;0;0;-294;-2;-307;-1;0;3687;3687;1459;0;56487;0;16;723;24252;109;9;29;0;0
Lucid;JUNGLE;DK;GEN;Canyon;28.08.2024;2;3;v14.16;Summer_Playoffs_24;1;3;5;1;Red;00:37:46;Rumble;LeBlanc;Lillia;Ziggs;Lillia;Maokai;Loss;6;3;2;0;16;1;3;5;2;233;214;0;6.2;11372;301;0.182;46;11;15;10;9;1.22;0.29;0.26;0.4;0.157;12429;195;10234;2000;329;0.184;0.16;1;0;0;0;0;0;-306;13;244;1;0;164;164;26577;0;25558;0;19;403;40962;102;11;24;0;0
ShowMaker;MID;DK;GEN;Chovy;28.08.2024;2;3;v14.16;Summer_Playoffs_24;1;3;5;1;Red;00:37:46;Nasus;Smolder;Rell;Tristana;Corki;Tristana;Loss;6;3;2;0;18;4;0;2;Perfect_KDA;365;4;0;9.7;15456;409;0.247;36;16;6;4;4;0.95;0.42;0.11;0.16;0.123;27790;18444;6415;2931;736;0.412;0.16;1;0;1;0;0;0;-698;-1;-542;0;0;603;603;7530;0;11700;0;0;21;21583;0;5;27;350;0
Aiming;ADCARRY;DK;GEN;Peyz;28.08.2024;2;3;v14.16;Summer_Playoffs_24;1;3;5;1;Red;00:37:46;Leona;Yasuo;Corki;KSante;Miss_Fortune;Ziggs;Loss;6;3;2;0;17;1;2;4;2.5;406;15;0;10.8;15865;420;0.254;40;13;13;4;3;1.06;0.34;0.11;0.34;0.137;16711;15580;645;486;442;0.248;0.13;0.833;0;0;0;0;0;503;15;448;0;0;2960;2960;4757;0;21790;0;8;181;11913;57;5;27;100;200
Moham;SUPPORT;DK;GEN;Lehends;28.08.2024;2;3;v14.16;Summer_Playoffs_24;1;3;5;1;Red;00:37:46;Alistar;Mordekaiser;Malphite;Poppy;Rell;Poppy;Loss;6;3;2;0;12;0;4;6;1.5;36;0;0;1;7929;210;0.127;136;75;17;25;23;3.6;1.99;0.66;0.45;0.464;3499;180;2223;1096;93;0.052;0.16;1;0;0;0;0;0;-575;7;295;0;0;962;962;1305;0;24510;0;23;50;28262;140;27;41;0;0
kingen;TOP;DK;GEN;Kiin;28.08.2024;2;3;v14.16;Summer_Playoffs_24;2;3;5;2;Blue;00:28:15;Azir;LeBlanc;Nasus;Maokai;Olaf;Corki;Loss;10;2;1;0;15;8;4;2;2.5;249;12;0;8.8;11900;421;0.246;30;8;7;6;5;1.06;0.28;0.21;0.25;0.139;18182;13040;284;4858;644;0.385;0.35;1;0;1;1;0;0;1057;19;897;1;0;931;931;6498;0;23653;0;9;411;22314;139;7;25;0;450
Lucid;JUNGLE;DK;GEN;Canyon;28.08.2024;2;3;v14.16;Summer_Playoffs_24;2;3;5;2;Blue;00:28:15;Tristana;Smolder;Miss_Fortune;Ziggs;Ivern;Maokai;Loss;10;2;1;0;13;0;3;10;3.3;142;131;0;5;8431;298;0.174;43;12;9;12;11;1.52;0.42;0.42;0.32;0.199;5214;1190;2992;1032;185;0.11;0.35;1;0;0;0;0;0;372;16;799;1;0;271;271;7705;2584;9947;11106;37;266;11993;49;13;27;0;0
ShowMaker;MID;DK;GEN;Chovy;28.08.2024;2;3;v14.16;Summer_Playoffs_24;2;3;5;2;Blue;00:28:15;Nidalee;Rumble;Ivern;Corki;Nasus;Garen;Loss;10;2;1;0;14;1;5;4;1;200;8;0;7.1;9059;321;0.187;18;7;4;5;5;0.64;0.25;0.18;0.14;0.083;9470;6178;3292;0;335;0.2;0.18;0.5;0;0;0;0;0;-1058;-39;-1279;-1;0;595;595;8228;0;25802;0;5;320;27669;149;6;22;150;0
Aiming;ADCARRY;DK;GEN;Peyz;28.08.2024;2;3;v14.16;Summer_Playoffs_24;2;3;5;2;Blue;00:28:15;Leona;Rell;Poppy;Blitzcrank;Miss_Fortune;Ziggs;Loss;10;2;1;0;15;0;2;3;1.5;320;4;0;11.3;11908;422;0.246;32;12;7;5;5;1.13;0.42;0.18;0.25;0.148;7361;6804;557;0;261;0.156;0.11;0.3;0;0;0;0;0;-583;10;83;0;0;5371;5371;2577;0;14165;0;3;49;7636;42;6;20;0;100
Moham;SUPPORT;DK;GEN;Lehends;28.08.2024;2;3;v14.16;Summer_Playoffs_24;2;3;5;2;Blue;00:28:15;KSante;Nautilus;Olaf;Garen;Poppy;Blitzcrank;Loss;10;2;1;0;10;1;4;8;2.3;31;0;0;1.1;7081;251;0.146;93;50;12;14;13;3.29;1.77;0.5;0.42;0.431;7023;4571;1380;1072;249;0.149;0.32;0.9;0;0;0;0;0;-428;6;-50;0;0;1894;1894;987;0;15788;0;21;168;17770;89;16;29;50;0
Kiin;TOP;GEN;DK;kingen;28.08.2024;2;3;v14.16;Summer_Playoffs_24;2;3;5;2;Red;00:28:15;LeBlanc;Azir;Maokai;Nasus;Corki;Olaf;Win;18;11;2;1;16;3;3;9;4;246;12;0;8.7;13063;462;0.215;39;14;11;4;4;1.38;0.5;0.14;0.39;0.162;18462;12786;3825;1851;654;0.266;0.42;0.667;0;1;0;0;0;-1057;-19;-897;-1;0;10584;10584;4801;0;9342;0;1;75;15647;63;5;25;400;0
Canyon;JUNGLE;GEN;DK;Lucid;28.08.2024;2;3;v14.16;Summer_Playoffs_24;2;3;5;2;Red;00:28:15;Smolder;Tristana;Ziggs;Miss_Fortune;Maokai;Ivern;Win;18;11;2;1;14;3;1;11;14;173;148;0;6.1;10445;370;0.172;39;10;10;7;7;1.38;0.35;0.25;0.35;0.162;7664;663;6839;162;271;0.11;0.5;0.778;0;0;0;0;0;-372;-16;-799;-1;0;1472;1472;18900;0;25193;1101;46;556;28300;14;8;23;0;0
Chovy;MID;GEN;DK;ShowMaker;28.08.2024;2;3;v14.16;Summer_Playoffs_24;2;3;5;2;Red;00:28:15;Rumble;Nidalee;Corki;Ivern;Garen;Nasus;Win;18;11;2;1;18;5;3;5;3.3;322;46;0;11.4;14382;509;0.236;32;12;5;7;6;1.13;0.42;0.25;0.18;0.133;17560;14172;0;3388;622;0.253;0.35;0.556;2;1;0;0;0;1058;39;1279;1;0;5324;5324;2910;0;23636;0;21;199;19327;113;8;28;0;200
